Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
BFC,HOSE,Hóa chất,2024.0,428.07354205800004,3278.0529662890003,203.58948088900001,1758.2301449600002,1519.8228213290001,40250.0,2301011.0,752.2,57167975.1552795,7487.99552363483,5.375270307381515,23023.96292443192,1.7481786316328993,0.2816601619941946
BHN,HOSE,Thực phẩm và đồ uống,2024.0,402.83869354800004,7260.961847945,75.217254118,1982.8833921490002,5278.0784557960005,38050.0,8819989.0,4.4833333333333325,231799973.71879107,1737.8720415072403,21.894592404513045,22445.47796191672,1.6952189685850976,0.07632298324509215
BIC,HOSE,Bảo hiểm,2024.0,499.92661554000006,8668.986786585001,25.788738130000002,5704.715538351001,2964.2712482340003,33850.0,3969823.0,30.950000000000006,117276898.07976367,4262.788526347145,7.9408114643225405,25055.93649062449,1.3509772429646005,0.16865076562674122
BKG,HOSE,Hàng cá nhân & Gia dụng,2024.0,15.221663388000001,797.702666139,22.8125,45.408126899,752.2945392400001,3280.0,234877.7,141.93,71609054.87804878,212.56618194336886,15.430488377844817,10187.008339689977,0.32197872924288,0.020233648649606806
BMC,HOSE,Tài nguyên Cơ bản,2024.0,25.541438834,257.035164033,0.0,20.246329163000002,236.78883487000002,21100.0,261484.3,143.79000000000002,12392620.853080569,2061.0199518571476,10.237649558407803,19107.244357527394,1.1042931992277343,0.10786589176817633
BMI,HOSE,Bảo hiểm,2024.0,237.67404222800002,7455.089679350001,180.83198353900002,4667.546179752,2787.5434995980004,21000.0,2785498.0,170.05999999999997,132642761.90476191,1791.8357459915608,11.719824234435663,19652.12031645293,1.0685869851111494,0.08526289984793983
BMP,HOSE,Xây dựng và Vật liệu,2024.0,990.7617291380001,3200.494976288,6.316467984,498.79628565300004,2701.6986906350003,131100.0,10732000.0,241.16,81861174.67581998,12102.95030655906,10.832069592895197,32926.25879514966,3.9816245391144234,0.3667180698470613
BRC,HOSE,Hóa chất,2024.0,21.702461466000003,308.877675177,0.0,96.348942015,212.528733162,14400.0,178199.8,24.939999999999998,12374986.111111112,1753.736228157383,8.211040958610864,17174.058318431333,0.8384739199671756,0.10211542290358125
BSI,HOSE,Dịch vụ tài chính,2024.0,413.071438156,10315.055682765,10.099337535,5253.174152094,5061.881530671,48600.0,10840750.0,497.18999999999994,223060699.58847737,1851.8342268184028,26.24424978012132,22647.5672427101,2.145925850629435,0.08160432749228003
BSR,HOSE,Dầu khí,2024.0,585.338384397,88446.41221443,195.54686117,32914.156385349,55532.255829081005,22800.0,5565921.0,4650.67,244119342.10526314,2397.7550461552723,9.508894595617308,226678.92060781512,0.10058279763669359,0.010540511557797574
BTP,HOSE,"Điện, nước & xăng dầu khí đốt",2024.0,34.986302624000004,1257.3846266970002,1.6045421990000002,201.606537986,1055.778088711,12000.0,725826.9,9.73,60485575.0,578.4239072539198,20.746030462278547,17428.5116163978,0.6885269530824235,0.03313793210722416
BTT,HOSE,Bán lẻ,2024.0,47.046105267,505.66078298300005,108.29134348800001,115.997143218,389.663639765,40500.0,546749.9,0.8375,13499997.530864198,3484.8973238285,11.621576257950348,20842.396128867153,1.9431547001405782,0.12073516865821189
BWE,HOSE,"Điện, nước & xăng dầu khí đốt",2024.0,664.091107284,14201.402063208001,108.59182531100001,8685.18738006,5516.214683148,47500.0,10446610.0,109.725,219928631.57894737,3019.575498270731,15.730687981539987,24588.08031957329,1.9318303577440212,0.12038891620965986
C32,HOSE,Xây dựng và Vật liệu,2024.0,11.339231513000001,787.919713311,55.057153363000005,241.008293274,546.9114200370001,17600.0,264530.4,21.20555555555556,15030136.363636365,754.4330429651942,23.328776707374384,32724.537873387704,0.5378227209225985,0.02073321400425844
C47,HOSE,Xây dựng và Vật liệu,2024.0,3.762822351,2225.5969198770003,0.839031941,1785.7699579930002,439.826961884,6000.0,218053.5,37.915,36342250.0,103.53850823765727,57.94945380348624,12079.272195392421,0.4967186683887023,0.008555233482917783
