ts_utc,ts_local,ticker,price,signal,method
2025-09-18T09:24:33.091513+00:00,2025-09-16 10:45:00,MSH,37250,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.091513+00:00,2025-09-16 11:00:00,MSH,37300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.091513+00:00,2025-09-16 14:15:00,MSH,36800,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.092634+00:00,2025-09-17 14:00:00,MSH,36600,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.092634+00:00,2025-09-18 09:30:00,MSH,36550,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.092634+00:00,2025-09-18 13:45:00,MSH,36100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-21 13:30:00,HDB,32850,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-22 10:45:00,HDB,32300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-25 13:15:00,HDB,31400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-25 14:15:00,HDB,31150,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-26 14:00:00,HDB,32000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-26 14:45:00,HDB,32300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-27 09:15:00,HDB,32700,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-27 10:30:00,HDB,32450,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.707278+00:00,2025-08-27 13:15:00,HDB,32400,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-08-29 13:30:00,HDB,33550,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-04 11:15:00,HDB,32700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-04 13:00:00,HDB,32700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-04 13:15:00,HDB,32800,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-05 09:15:00,HDB,33250,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-05 13:45:00,HDB,32750,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-05 14:15:00,HDB,32350,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-08 10:15:00,HDB,31400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-08 13:00:00,HDB,31100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-08 14:00:00,HDB,31350,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-08 14:15:00,HDB,30550,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-12 09:30:00,HDB,31200,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-16 14:15:00,HDB,31150,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-18 09:15:00,HDB,30700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.713917+00:00,2025-09-18 09:45:00,HDB,30650,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.718527+00:00,2025-09-18 13:00:00,HDB,30550,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.718527+00:00,2025-09-18 13:30:00,HDB,30400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.719753+00:00,2025-09-18 13:45:00,HDB,30400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.233719+00:00,2025-08-20 09:45:00,STB,53700,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.233719+00:00,2025-08-21 09:30:00,STB,55800,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.234763+00:00,2025-08-22 10:45:00,STB,55900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.235758+00:00,2025-08-22 13:00:00,STB,56000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.235758+00:00,2025-08-25 13:00:00,STB,53300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.236925+00:00,2025-08-25 13:15:00,STB,52700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.236925+00:00,2025-08-25 14:15:00,STB,53400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.237931+00:00,2025-08-26 14:45:00,STB,55000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.237931+00:00,2025-08-27 10:30:00,STB,54600,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.237931+00:00,2025-08-27 10:45:00,STB,54800,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.239030+00:00,2025-08-27 13:00:00,STB,55900,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.239030+00:00,2025-08-27 13:15:00,STB,55700,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.239030+00:00,2025-08-28 09:45:00,STB,55600,-1,Wyckoff+VSA+RSI
