ticker,timestamp,open,high,low,close,volume,bu,sd,label,hit_time,hit_type,ub,lb,vbar_end
NAB,2021-02-05,4871.1624192,5118.250368,4871.1624192,4919.168077824,14845.0,4100.0,7000.0,-1,1970-01-01 00:00:00.000010765,sl,5253.809031554607,4751.847600958696,
NAB,2021-02-08,4906.4606976,4906.4606976,4588.776192,4764.208635648,55802.0,14000.0,38300.0,-1,1970-01-01 00:00:00.000010766,sl,5083.653054386679,4604.4864262786605,
NAB,2021-02-09,4588.776192,4906.4606976,4588.776192,4861.984866816,12650.0,7000.0,2900.0,1,1970-01-01 00:00:00.000010769,tp,5193.687882583289,4696.133358932356,
NAB,2021-02-17,4906.4606976,5012.3555328,4906.4606976,4953.407407872,33229.0,18100.0,18100.0,1,1970-01-01 00:00:00.000010777,vbar_sign,5295.92964056323,4782.146291526384,1970-01-01 00:00:00.000010777
NAB,2021-02-18,4941.758976,5118.250368,4941.758976,5034.240465408,79930.0,50400.0,29400.0,-1,1970-01-01 00:00:00.000010778,vbar_sign,5385.907140725944,4858.407127749028,1970-01-01 00:00:00.000010778
NAB,2021-02-19,5118.250368,5224.1452032,5082.9520896,5147.194956288,61324.0,33100.0,19900.0,-1,1970-01-01 00:00:00.000010773,sl,5511.614862008305,4964.985003427847,
NAB,2021-02-22,5153.5486464,5188.8469248,5047.6538112,5106.954918912,38835.0,21500.0,17200.0,-1,1970-01-01 00:00:00.000010773,sl,5468.40483462795,4926.229961054025,
NAB,2021-02-23,5153.5486464,5188.8469248,5047.6538112,5087.540865792,37358.0,17500.0,11700.0,-1,1970-01-01 00:00:00.000010773,sl,5445.733338644242,4908.444629365878,
NAB,2021-02-24,5118.250368,5118.250368,5012.3555328,5075.186468352,35051.0,8600.0,26306.0,-1,1970-01-01 00:00:00.000010773,sl,5405.8606613993325,4909.8493718283335,
NAB,2021-02-25,5047.6538112,5047.6538112,4871.1624192,4933.640371968,249416.0,6702.0,54300.0,1,1970-01-01 00:00:00.000010781,tp,5254.1029029514375,4773.4091064762815,
NAB,2021-02-26,4871.1624192,4941.758976,4871.1624192,4928.698612992,11809.0,5700.0,3200.0,1,1970-01-01 00:00:00.000010781,tp,5248.476115595723,4768.809861690138,
NAB,2021-03-01,4941.758976,5047.6538112,4941.758976,5031.063620352,79560.0,11500.0,66200.0,1,1970-01-01 00:00:00.000010782,tp,5359.194287889753,4866.998286583123,
NAB,2021-03-02,5047.6538112,5047.6538112,4941.758976,4971.409529856,46155.0,8105.0,36950.0,1,1970-01-01 00:00:00.000010781,tp,5293.416598936885,4810.405995315557,
NAB,2021-03-03,5012.3555328,5047.6538112,4941.758976,4984.822875648,82375.0,29000.0,48700.0,1,1970-01-01 00:00:00.000010782,tp,5300.414290318392,4827.027168312804,
NAB,2021-03-04,5012.3555328,5082.9520896,4941.758976,5008.82570496,118056.0,47900.0,62700.0,1,1970-01-01 00:00:00.000010781,tp,5227.810639682647,4899.333237598676,
NAB,2021-03-05,5012.3555328,5047.6538112,4977.0572544,5018.003257344,63400.0,36000.0,13572.0,1,1970-01-01 00:00:00.000010781,tp,5225.6268800876105,4914.191445972196,
NAB,2021-03-08,5082.9520896,5118.250368,5047.6538112,5074.480502784,104654.0,57000.0,40400.0,1,1970-01-01 00:00:00.000010781,tp,5277.697075721298,4972.872216315352,
NAB,2021-03-09,5118.250368,5294.74176,5047.6538112,5191.670787072,295769.0,101500.0,176100.0,1,1970-01-01 00:00:00.000010783,tp,5398.194924787182,5088.408718214409,
NAB,2021-03-10,5224.1452032,5365.3383168,5188.8469248,5318.038623744,131758.0,47800.0,81700.0,-1,1970-01-01 00:00:00.000010784,sl,5499.6468544586105,5227.234508386695,
NAB,2021-03-11,5400.6365952,5435.9348736,5259.4434816,5329.687055616,120357.0,38800.0,80200.0,-1,1970-01-01 00:00:00.000010784,sl,5500.858633008695,5244.1012669196525,
NAB,2021-03-12,5294.74176,5330.0400384,5188.8469248,5242.853290752,641346.0,33800.0,47000.0,1,1970-01-01 00:00:00.000010786,tp,5418.058445392026,5155.250713431988,
NAB,2021-03-15,5294.74176,5400.6365952,5294.74176,5331.80495232,307040.0,92910.0,66400.0,1,1970-01-01 00:00:00.000010787,tp,5489.601027829944,5252.906914565027,
NAB,2021-03-16,5330.0400384,5471.233152,5330.0400384,5423.227493376,256173.0,119100.0,113500.0,-1,1970-01-01 00:00:00.000010790,sl,5582.004286072723,5343.839097027639,
NAB,2021-03-17,5541.8297088,5541.8297088,5471.233152,5497.7068608,199017.0,88500.0,104000.0,-1,1970-01-01 00:00:00.000010789,sl,5656.481403351653,5418.319589524173,
NAB,2021-03-18,5506.5314304,5541.8297088,5435.9348736,5489.235273984,167462.0,67600.0,94100.0,-1,1970-01-01 00:00:00.000010789,sl,5645.961155902517,5410.872333024741,
NAB,2021-03-19,5471.233152,5471.233152,5400.6365952,5426.404338432,149692.0,66302.0,82200.0,-1,1970-01-01 00:00:00.000010790,sl,5578.724568401182,5350.244223447409,
NAB,2021-03-22,5400.6365952,5471.233152,5294.74176,5388.988163328,180366.0,50900.0,123000.0,-1,1970-01-01 00:00:00.000010791,sl,5539.880336001035,5313.542076991483,
NAB,2021-03-23,5365.3383168,5365.3383168,5294.74176,5325.804244992,785142.0,38400.0,56600.0,-1,1970-01-01 00:00:00.000010792,sl,5478.1754331608345,5249.618650907583,
NAB,2021-03-24,5294.74176,5294.74176,5047.6538112,5187.434993664,152560.0,57500.0,95100.0,-1,1970-01-01 00:00:00.000010794,sl,5349.598663139749,5106.353158926126,
